feature_ID	feature_description	stability
GB024	What is the order of numeral and noun in the NP?	53
GB025	What is the order of adnominal demonstrative and noun?	45
GB026	Can adnominal property words occur discontinuously?	43.8
GB027	Are nominal conjunction and comitative expressed by different elements?	24.3
GB028	Is there a distinction between inclusive and exclusive?	56.7
GB030	Is there a gender distinction in independent 3rd person pronouns?	53.1
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	47.1
GB035	Are there three or more distance contrasts in demonstratives?	20.3
GB036	Do demonstratives show an elevation distinction?	31.4
GB037	Do demonstratives show a visible-nonvisible distinction?	9.1
GB038	Are there demonstrative classifiers?	32
GB039	Is there nonphonological allomorphy of noun number markers?	36.8
GB041	Are there several nouns (more than three) which are suppletive for number?	45.9
GB042	Is there productive overt morphological singular marking on nouns?	62.5
GB043	Is there productive morphological dual marking on nouns?	41.3
GB044	Is there productive morphological plural marking on nouns?	52.8
GB051	Is there a gender/noun class system where sex is a factor in class assignment?	68.7
GB052	Is there a gender/noun class system where shape is a factor in class assignment?	42.1
GB053	Is there a gender/noun class system where animacy is a factor in class assignment?	56.5
GB054	Is there a gender/noun class system where plant status is a factor in class assignment?	39.3
GB057	Are there numeral classifiers?	50.8
GB058	Are there possessive classifiers?	31.8
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	48.7
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	51
GB069	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	13.6
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	63.5
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	44.7
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	45.1
GB073	Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?	41
GB074	Are there prepositions?	78.5
GB075	Are there postpositions?	60.6
GB079	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	50.2
GB080	Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	27.7
GB081	Is there productive infixation in verbs?	39.6
GB083	Is there overt morphological marking on the verb dedicated to past tense?	53.6
GB084	Is there overt morphological marking on the verb dedicated to future tense?	39.6
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	57
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	56.2
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	59.6
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	54.1
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	37.7
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	62.3
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	27.7
