feature_ID	feature_description	stability	quartile
1	Consonant Inventories	14.7	very unstable
2	Vowel Quality Inventories	32	unstable
3	Consonant-Vowel Ratio	19.2	very unstable
4	Voicing in Plosives and Fricatives	22	very unstable
5	Voicing and Gaps in Plosive Systems	28.1	unstable
6	Uvular Consonants	38	stable
7	Glottalized Consonants	43	stable
8	Lateral Consonants	31.3	unstable
9	The Velar Nasal	54.6	very stable
10	Vowel Nasalization	57	very stable
11	Front Rounded Vowels	11.6	very unstable
12	Syllable Structure	24.2	unstable
13	Tone	48.3	stable
14	Fixed Stress Locations	26.1	unstable
15	Weight-Sensitive Stress	15.6	very unstable
16	Weight Factors in Weight-Sensitive Stress Systems	10.9	very unstable
17	Rhythm Types	22.7	unstable
18	Absence of Common Consonants	55.3	very stable
19	Presence of Uncommon Consonants	17.3	very unstable
20	Fusion of Selected Inflectional Formatives	32.9	unstable
21	Exponence of Selected Inflectional Formatives	55.1	very stable
22	Inflectional Synthesis of the Verb	12.1	very unstable
23	Locus of Marking in the Clause	27.5	unstable
24	Locus of Marking in Possessive Noun Phrases	26.2	unstable
25	Locus of Marking: Whole-language Typology	36.6	stable
26	Prefixing vs. Suffixing in Inflectional Morphology	41.5	stable
27	Reduplication	36.2	stable
28	Case Syncretism	67.4	very stable
29	Syncretism in Verbal Person/Number Marking	70.8	very stable
30	Number of Genders	72.9	very stable
31	Sex-based and Non-sex-based Gender Systems	80.8	very stable
32	Systems of Gender Assignment	66.9	very stable
33	Coding of Nominal Plurality	41.3	stable
34	Occurrence of Nominal Plurality	9.8	very unstable
35	Plurality in Independent Personal Pronouns	31.8	unstable
36	The Associative Plural	28	unstable
37	Definite Articles	15.9	very unstable
38	Indefinite Articles	17.2	very unstable
39	Inclusive/Exclusive Distinction in Independent Pronouns	64.6	very stable
40	Inclusive/Exclusive Distinction in Verbal Inflection	65	very stable
41	Distance Contrasts in Demonstratives	15.5	very unstable
42	Pronominal and Adnominal Demonstratives	51.7	very stable
43	Third Person Pronouns and Demonstratives	27.8	unstable
44	Gender Distinctions in Independent Personal Pronouns	50.6	very stable
45	Politeness Distinctions in Pronouns	15.4	very unstable
46	Indefinite Pronouns	35.1	stable
47	Intensifiers and Reflexive Pronouns	56.8	very stable
48	Person Marking on Adpositions	40.6	stable
49	Number of Cases	39	stable
50	Asymmetrical Case-Marking	47.7	stable
51	Position of Case Affixes	46.7	stable
52	Comitatives and Instrumentals	18.8	very unstable
53	Ordinal Numerals	38.9	stable
54	Distributive Numerals	44.5	stable
55	Numeral Classifiers	38.7	stable
56	Conjunctions and Universal Quantifiers	27.3	unstable
57	Position of Pronominal Possessive Affixes	55	very stable
58	Obligatory Possessive Inflection	-24.9	very unstable
59	Possessive Classification	1.4	very unstable
60	Genitives, Adjectives and Relative Clauses	10.2	very unstable
61	Adjectives without Nouns	54.2	very stable
62	Action Nominal Constructions	42.1	stable
63	Noun Phrase Conjunction	54.3	very stable
64	Nominal and Verbal Conjunction	20.6	very unstable
65	Perfective/Imperfective Aspect	36	stable
